"PRENOM","NOM","DATES","IMAGE","BIOGRAPHIE"
"Diyana","AFSAR","(België, 1987-)","DIYANA_AFSAR.jpg","Diyana Afsar is actief in het Creahmbxl kunstatelier. Diyana Afsar tekent zeer herkenbare figuren: hun gedrongen lijf rust steevast op een paar oneindige benen. Verder geeft zij hun kleding – een bontkraag bijvoorbeeld – weer met veel oog voor detail. Haar personages kijken ons recht aan, hun ogen ver uiteen, en zij glimlachen ons stralend toe, misschien omdat zij in gezelschap zijn. Diyana Afsar werkt met acrylverf, stift of potlood en beeldt grote families af, waaronder bekende of atypische gezinnen. Daarbij legt zij een voorliefde aan de dag voor koningshuizen en de zanger Ricky Martin. Rond haar staande portretten prijken verzonnen bijschriften: de kunstenares geeft haar eigen draai aan de feiten. Diyana Afsar laat anderen ruimhartig delen in de gezelligheid die uit haar oeuvre spreekt. (Tekst: Créahmbxl, Anita Van Belle)",,,,,,,,,,,
"Yassir","AMAZINE","(België, 1975- )","Yassir_AMAZINE.jpg","Tijdens zijn jeugd heeft Amazine vaak het atelier van Luc Mondry en Nicole Babilas in La Clairière bezocht. Zijn tekeningen zijn gemaakt met een zwarte, rode, groene of blauwe balpen. Terwijl hij tekent in het atelier, zingt of neuriet hij, praat weinig of helemaal gevuld is (vaak aan weerskanten), is ere en duidelijke samenhang. Wanner Amazine zijn tekening heft afgewerkt,stopt hij ook met zingen. Vanaf dan begint de tekening een eigen leven te leiden, volgt zee en eigen weg, gevoed door Amazine."
"Inès","ANDOUCHE","(België, 1958-)","Ines_ANDOUCHE.JPG","Tijdens de eerste tien jaar van haar leven reist Inès veel rond, vooral in Kongo. In 1961 keert ze terug naar België, maar bezoekt ze ook verschillende instellingen in Zwitserland, Frankrijk en België, waar ze deelneemt aan creatieve ateliers.
Inès tekent intensief. Doelbewust en zelfzeker kiest ze een beeld uit een tijdschrift, een model dat ze zich vervolgens eigen maakt en een ander leven laat leiden. Die op het eerste gezicht eenvoudige mentale overdracht verheft wat aanvankelijk onbeduidend of banaal was, en maakt zichtbaar wat in eerste instantie onopgemerkt bleef. Haar wereld wordt ongetwijfeld deels bepaald door een aantal herinneringen aan de cultuur van haar kindertijd, die hier vertaald worden door een sterke artistieke persoonlijkheid."
"Seyni ","AWA CAMARA","(Senegal, 1939-)","Seyni_CAMARA.jpg","De Senegalese kunstenares Seyni Awa rebelleert tegen de verboden van haar voorouders. Ze laat haar excentrieke fantasie de vrije loop in haar figuren van klei, en crëeert op die manier een wereld die bevolkt wordt door zwangere vrouwen of vrouwen omringd door kinderen. Haar beelden zijn indrukwekkend groot (sommigen zelf tot 1m60) en worden gebakken in een put - de meest rudimentaire oven - voor haar huis. Daarna worden ze tentoongesteld op de markt van Bignona. In haar kleine huisje, verloren tussen de velden, is een volledige kamer gevuld met talloze creaturen, de ene nog vreemder dan de andere, gerangschikt volgens grootte, gevormd en gehard in de vlammen van die «permanente hel» die hen bedwingt en verwekt."
"Aimé","BAHATI","AIME_BAHATI.jpg","(Rwanda, 1984-, woont in België)","Aimé Bahati maakt zijn zorgvuldige en nauwkeurige schaalmodellen van gerecycled materiaal dat overal en nergens vandaan komt. Zo krijgen zijn dromen gestalte in miniatuur. Als kunstenaar met een lichamelijke beperking bedenkt hij vervoersmiddelen – helikopters, vliegtuigen en schepen – waarmee hij zich gemakkelijker zonder hulp van zijn moeder zou kunnen verplaatsen. Ook ontwerpt hij luxe villa’s met subtiele en elegante versieringen. Aimé Bahati ontvluchtte Rwanda samen met zijn moeder in 1995 en woont en werkt sindsdien in Luik.",,,,,,,,,,,
"Carol","BAILLY","(VS, 1955-)","Carol_BAILLY.jpg","Carol Bailly is Amerikaanse, maar ze emigreerde naar Zwitserland, waar ze zichzelf leerde tekenen. Ze koestert een uitgesproken voorkeur voor felle zuurstokkleuren in Chinese inkt, waterverf en kleurpotlood. De taferelen die ze schept, bevatten een overvloed aan details. Vrouwen spelen een centrale rol in haar vertelling; ze geeft hun het woord, soms met veel humor, dan weer sarcastisch en een enkele keer met een tragische ondertoon. Frida Khalo bezet als het archetype van de vrouwelijke kunstenaar, muze en alter ego een doorslaggevende plaats in haar composities."
"Umberto","BERGAMASCHI","(Milaan, 1954-)","BERGAMASCHI.jpg","Het was Michele Munno, de kunstenaar die aan de wieg stond van het Atelier, die hem vergezelde bij zijn zoektocht naar een persoonlijke stijl, door hem aan te moedigen om verschillende onderwerpen aan te durven. Geleidelijk aan heeft hij zijn vooroordeel overwonnen dat de elementen die hij schildert, realistisch moeten zijn, en heeft Umberto eindelijk, met een grotere beheersing, de eenvoudige vormen die eigen zijn aan zijn stijl verder uitgewerkt. Het was louter toevallig dat de gewoonte om zijn personages binnen een gesloten cirkel af te bakenen tijdens deze zoekfase is ontstaan, toen hij zich toelegde op de weergave van een muntstuk. Omdat hij daarbij een grote innerlijke voldoening had ervaren, heet Umberto die vorm nooit meer verlaten. Alles geeft hij weer als een zuivere beeltenis, zonder enige diepte, in een vruchtvliesuniversum waaruit de begrippen ruimte en tijd gebannen zijn. Deze wil tot abstrahering en het zich afzijdig houden van de elementen van de realiteit weerspiegelt de neiging van Umberto om te vluchten in een stil universum. Maar hoewel de cirkel geruststellend en beschermend is, is hij evenwel geen plaats die de inwedige integriteit afsluit of verdedigt."
"Ariane","BERGRICHTER","(Allemagne, 1937-Belgique, 1996)","ARIANE_BERGRICHTER.jpg",""Er bestaat een krioelende wereld van balpen en vilt, van cafés, van mensen aan tafels, van ramen aan de straatkant, van tramhaltes, van voorbijgangers en kunstenaars, van dames met kleine hondjes en dikke jassen, van obers en arbeiders. “Het is ongelooflijk hoeveel dakpannen er nodig zijn”, aldus een dakdekker in het tumult van tekeningen die eind jaren '80, begin jaren '90 ter plaatse in hartje Brussel werden gemaakt. “Het is ongelooflijk” hoeveel schetsen, bierkaartjes, stukjes plakband, uren van observeren en van samenvoegen Ariane Bergrichter verzamelde om een complex psychisch leven tot kunst te verheffen. Bij haar overlijden in 1996 getuigden de talrijke geschriften en tekeningen van haar moeilijkheid met het leven. Haar dochter begroef ze in een koffer, maar haalde ze twintig jaar later weer tevoorschijn en onthulde aldus het oeuvre dat ze vormen. De geassembleerde tekeningen van Ariane Bergrichter waren in 2018 voor het eerst te zien in het American Folk Art Museum in New York. Met SMILE. I LOVE IT! in 2022 heeft het ART ET MARGES MUSEUM haar eerste monografische tentoonstelling aangeboden.",,,,,,,,,,,
"Paul","BLOCKX","(België, 1961–2015)","Paul_BLOCKX.JPG","« Het grafische werk van Paul Blockx dompelt de toeschouwer onder in een wereld vol pijn. De kunstenaar laat ons op een dwingende en onontkoombare manier kennis maken met de hel van zijn leven, het psychische leed dat hij al jarenlang ervaart. Net als zoveel andere outsiderkunstenaars zoekt hij in de kunst een uitlaatklep, een manier om zijn pijn uit te schreeuwen en eraan te ontsnappen. Zijn oeuvre is sterk en authentiek en weerspiegelt de ziel van de kunstenaar. Het is een symbolische weergave van zijn persoonlijke verhaal. Het afbeelden van hoofden en gezichten speelt een “vormende rol voor het ontstaan van de perceptie”. Of bezoekers nu gechoqueerd, ontroerd of ontsteld zijn door de boodschap die dit zelfportret uitdraagt, niemand blijft onverschillig bij het zien van dit zelfbeschouwende werk. »"
"Anacleto","BORGHI","(Italië, 1921-2008)","Anacleto_BORGHI.jpg",
"Dominique","BOTTEMANE","(België ,1961-)","Dominique_BOTTEMANE.jpg","In de linosneden bevolkt met dierlijke en vrouwenfiguren waar hij bekend om staat, geeft Dominique Bottemanne blijk van een grote gevoeligheid. Als fervent sportliefhebber bekijkt hij zijn creaties ook door die bril. Vanuit het verlangen zoveel mogelijk te tonen, waagt hij zich soms aan complexe composities waarin elementen boven elkaar staan en zich verstrengelen. Veeleisend als hij is, combineert hij linosneden met olieverf en beeldhouwwerk, in een permanent streven naar het resultaat dat hij ziet in zijn verbeelding."
"Ignacio","CARLES-TOLRA ","(Spanje, 1928-)","CARLES_TOLRA_Ignacio.jpg","Van Spaanse afkomst installeert Carles-Tolra zich op 30 jarig leeftijd in Zurich waar hij na ontdekking van de geschrifte van Dubuffet als autodidact begint te creëren. Onder impuls van de vader van Art Brut met wie hij een belangrijke briefwisseling aanvat, tekent hij vooral ‘s nachts, na zijn werk bij het Rode Kruis. Hij creëerde met de jaren een rijk persoonlijk bestiarium, waarin vogels, en andere complexe eigenaardige dieren die hij “bestioles” noemt. Ignacio Carles-Tolra werkt in series als gedreven door een onweerstaanbare impuls. “Het is de woede die mij motiveert, maar ik amuseer mij zeer veel.” Vertelt hij. “Ik teken om te genezen van de dagelijkse sleur.”"
"Georges","CAUCHY","(Frankrijk, 1963-)","Georges_CAUCHY","Georges Cauchy is niet bepaald een meegaand karakter ; men zou hem gerust koppig en eigenzinnig kunnen noemen. Het is niet makkelijk om met hem te communiceren, maar zijn creative uitspattingen zijn werkelijk buitengewoon. Op die momenten buigen alle vormen zich naar zijn wil, waardoor ze heel geladen worden. Met stift creëert hij kleurvlakken vol licht en helderheid. Zijn werk is broos, want door het gebruik van de stiften vervagen de kleuren als ze worden blootgesteld aan zonlicht."
"Klaus","COMPAGNIE","(België, 1972-)","Klaus_COMPAGNIE.jpg","Klaus Compagnie was altijd al een praatvaar met een eigen commentaar op de dingen. Hij maakt anekdotische schilderijen, die deze commentaar perfect in beeld brengen. Klaus werkt enthousiast, nu en dan zelfs obsessioneel, aan de vertolking van zijn wereld.  Zijn schilderijen geven blijk van zijn kennis en zijn onbegrensde fantasie. Met verf, houtskool of met een pyrogravure schetst hij rudimentaire figuren, die hij begeleidt met uitgesproken commentaren. Hij portretteert, schildert historische feiten of onderwijst met zijn anatomische kennis. Hij brengt verslag uit over het weer of de actualiteit met een persoonlijke invulling in het Nederlands, maar ook in het Spaans en Italiaans. Zijn werk is doorspekt van een fikse dosis humor, en hij gaat recht door zee. "
"Phillippe","CONDYLIS","(Frankrijk, 1959-)","Phillippe_CONDYLIS.jpg",
"Martine","COPENAUT","(België, 1955-2004)","Martine_COPENAUT.jpg","Martine Copenaut ontdekte tegelijk de teken- en weefkunst. Wellicht is het daarom dat haar kleurige grafische composities, vol opeengepakte motieven, veel weghebben van een tapijtinslag. Haar abstracte creaties plaatsen ronde geometrische vormen naast elkaar. Ze doen denken aan een bloem die ontluikt tot aan de rand van het blad: een hele resem bonte bloemen die naast elkaar bloeien tot er geen gaatje wit meer overblijft."
"Aloïse","CORBAZ ","(Zwitserland, 1886-1964)","Aloise_CORBAZ.jpg","Na een teleurstelling in de liefde trok Aloïse op vijfentwintigjarige leeftijd naar Duitsland, waar zij als gouvernante ging werken aan het hof van keizer Willem II. In 1914, bij het aanvang van de eerste wereldoorlog, keert zij terug naar Zwitserland en vertoont zij gedragsproblemen. Haar familie besluit haar te laten opnemen in het hospitaal van Céry en vervolgens, van 1918 tot haar dood, in het asiel La Rosière van Gimel. Jacqueline Porret Forel, de arts die haar begeleidt en haar werken bestudeert, toont haar creaties aan Jean Dubuffet. De geïnterneerde Aloïse creëert verrassende werken volgens een heel eigen code. In haar tekeningen duiken veel persoonlijke herinneringen op: de weelde aan het hof van Willem II, het koningskoppel en allerlei theatrale elementen. Ze beeldt deze niet werkelijkheidsgetrouw af maar hevelt deze over naar een wereld die constant in beweging en heel afwisselend is."
"Sylvain","COSIJNS","(België, 1932–2020)","Sylvain_COSIJNS.jpg","Niemand kon vermoeden dat Sylvain Cosijns zo’n mooie artistieke toekomst tegemoet ging toen hij op 56-jarige leeftijd opgenomen werd in de instelling Mariaheem, die inmiddels omgedoopt werd tot De Bolster. Zijn eerste schilderij van een potplant, in het atelier van Jan Geldhof, trekt meteen de aandacht van de pas aangeworven animator. De kunstenaar heeft moeite met het stilleven, want zijn slecht zicht verplicht hem om telkens weer van zijn doek naar de plant te lopen. Maar van meet af aan zijn z’n trekken zowel trefzeker als fragiel. Zij getuigen reeds van die ambivalentie die de wereld van Sylvain Cosijns karakteriseert. Een wereld bewoond door talrijke figuren die de ene keer ademloos uitgelijnd worden, de andere keer in het luchtledige bewegen, soms in kleur. Een wereld die ruimtelijk gestructureerd wordt door een blad papier en tot leven gebracht wordt dankzij de visuele stimuli van picturale werken die Sylvain Cosijns inspireren, zonder dat hij deze evenwel gaat nabootsen. Men kan eindeloos fantaseren over de uitdrukkingen van zijn onbeweeglijke figuren. Maar wanneer hij zich overgeeft aan z’n werk is het telkens weer datzelfde personage in vooraanzicht, zonder leeftijd, zonder gezicht, dat terugkomt, keer na keer."
"Georges ","COUNASSE ","(België, 1933-2005)","Georges_Counasse_27.jpg","De draaimolens van Georges Counasse, een gepensioneerde bakker, zijn gemonteerd op platendraaiers en roepen onvermijdelijk herinneringen aan onze kindertijd op. Met een vrolijke assemblage van onderdelen die her en der gesprokkeld werden (popjes die de molens bevolken, parels, kerstslingers, ...) herschept de kunstenaar de kermissfeer uit de jaren 1947-1950, toen hij jong was. Paardenmolen, groot rad, draaimolen, spiegelpaleis, botsautootjes bezorgen ons een heerlijk gevoel van nostalgische vreugde."
"Kazimierz","CYCON","(Polen, 1931-2004)","Kazimierz_CYCON.jpg",
"Hylde","D’HONDT","(België, 1956-)","Hylde_DHONDT.jpg",
"Philippe ","DA FONSECA","(België, 1959-)","Da_Fonseca.jpg","Philippe da Fonseca vervoegde La ""S"" Grand Atelier in 2000. Zijn beeldtaal omvat van meet af aan boten, kerken, bomen, zonnen en manen. Het is een intuïtieve woordenschat. En hoe meer hij zijn thema’s herhaalt, hoe meer hij gestimuleerd wordt door de twee opeenvolgende animatoren van het atelier, hoe abstracter zijn boten en gebouwen, zijn hemellichamen en plantengroei worden. Het strakke zwart en wit aanvaarden nu de aanwezigheid van een levendig palet met onverwachte tinten, waarvan Michiel, de animator en kleurenmenger van het atelier, het geheim kent."
"Caroline","DAHYOT","(Frankrijk, 1968-)","Caroline_DAHYOT.jpg",
"Antonio ","DALLA VALLE ","(Cles (Trente),Italië, 1939-)","Antonio_DALLA VALLE.jpg","Antonio Dalla Valle heeft zijn creaties altijd bij zich, in een zak, wanneer hij in de psychiatrische instelling rondloopt. In de zak zitten schriften met zelfklevend papier eromheen, assemblages van viltstiften, kubussen in plexiglas waarin hij kleine volgekrabbelde papiertjes bewaart. Al die voorwerpen keren zich als revolutionaire barricades tegen de helse jachtigheid van het heden. Antonio Dalla Valle heeft voor zichzelf een geheimschrift bedacht waarin het intieme en het universele verenigd worden. Hij behoort tot dezelfde familie van kunstenaars als Artaud en Wölfli, kunstenaars voor wie het woord versmelt met het leven, kunstenaars die tegen een ruige en ongastvrije wereld reageren door hun eigen afwezigheid te organiseren."
